guba_name,postnums,readnum,replynum,post_id,create_time,author_url,content,title
再融资吧,70,54473,11,"news,zrz,593099811",2017-01-22T16:23:25Z,http://iguba.eastmoney.com/6595111736160300,2017年01月20日证监会回应上市公司并购重组时表明：上市公司并购重组是提高上市公司质量、支持实体经济转型升级的有效手段，证监会支持并引导资金更多投向有利于产业整合升级的并购重组，趋利避害，更好发挥并购重组的积极作用。近日召开的中央经济工作会议也提出，资本市场要配合企业兼并重组，要尽可能多兼并重组、少破产清算，并购重组在过剩产能化解中被寄予了更大的期望。2017年01月20日就2016年沪市上市公司并购重组及监管情况，上交所负责人的回答：2016年，沪市并购重组沿着服务实体经济主方向，助改革、强主业、促转型、去产能，产业逻辑和价值导向贯穿始终。从证监会和上交所的表态来看，对于,创兴资源成为净壳等待重大资产重组的研究报告!（转发）
锰硅吧,60,19654,9,"news,fczcesm,596608306",2017-01-29T16:45:34Z,http://iguba.eastmoney.com/8204094179552196,锰硅合金即是铁合金的重要原料，也是炼钢的脱氧剂，用量较大，我国年产1000多万吨锰硅合金。从锰硅采矿到锰硅合金冶炼，多数企业规模小，产能低，技术含量低，产能过剩，2015年锰硅价格下跌，造成行业亏损严重，2016年锰硅企业积极主动去产能，取得显著成效，使锰硅价格回升，支撑了期货价格走强。因此，锰硅期货商品引起了机构投资者的关注和介入，成交量迅速放大。春节过后2月3月炒作黄金季节，锰硅705合约成交量将会成倍放大，将会成为期货商品热炒品种。期货价格将以7000为中轴，上下振幅1000。随着环保趋严，政府去产能坚决，企业在去产能中得到实惠，去产能主动，705期货主力合约贴水1000左右，期货价格向上的振幅更大。（公开资料整理，仅供参考）,锰硅将会成为期货商品热炒品种
IF12吧,6,14166,1,"news,if12,615294964",2017-03-08T18:10:03Z,http://iguba.eastmoney.com/6952094294415696,恒生指数，香港股市价格的重要指标，指数由若干只成份股（即蓝筹股）市值计算出来的，代表了香港交易所所有上市公司的12个月平均市值涵盖率的63%，恒生指数由恒生银行下属恒生指数有限公司负责计算及按季检讨，公布成份股调整。,恒生指数是什么
IF04吧,17,11822,52,"news,if04,618576512",2017-03-18T13:59:11Z,http://iguba.eastmoney.com/1290112922643706,,南京藏龙卧虎，高手真多！
硅铁吧,167,9489,13,"news,fczcesf,619258203",2017-03-21T09:10:21Z,http://iguba.eastmoney.com/6663094041961110,菜粕现货价 2540元！期货 菜粕 1709合约 价 2500 以下 坚决开 多单！！,菜粕现货价2540元！09合约2500以下坚决开多单
线材吧,54,24863,21,"news,fshfewr,622683971",2017-03-29T22:25:02Z,http://iguba.eastmoney.com/4427094387594844,我开个记录贴，记录复盘和做单计划，考核一下盈亏比例！,我开个记录贴，记录复盘和做单计划，考核一下盈亏比例！
棉花吧,230,27656,42,"news,fczcecf,626585009",2017-04-10T09:51:44Z,http://iguba.eastmoney.com/6663094041961110,菜粕！现货价2540元！菜粕1709合约2500以下---坚决开 多单！,菜粕现货价2540元！菜粕2500以下开多单！
早籼稻吧,7,8822,3,"news,fczceer,626643936",2017-04-10T11:11:45Z,http://iguba.eastmoney.com/6663094041961110,菜粕！重大利好！3月22日晚，中央电视台天气播报：长江中下游是我国主要油菜籽的产,菜粕现货价2540元！09合约2500以下开多单！
聚丙烯吧,60,7766,1,"news,fdcepp,628145117",2017-04-13T09:26:23Z,http://iguba.eastmoney.com/4774134667544078,今天玻璃现货市场整体走势尚可，生产企业以削减库存为主，市场价格小幅变化。上周以来华南、华东等地区厂家集体涨价，对贸易商的市场信心有一定的提振作用。而目前玻璃加工企业订单情况一般，采购玻璃原片的积极性并没有明显的改善。,削减库存为主 玻璃成本趋于合理——期乐网
强麦吧,15,9877,2,"news,fczcewh801,629177625",2017-04-15T22:11:33Z,http://iguba.eastmoney.com/9528094483641564,这货参与的人太少了，自慰挺着吧。,WH705周五收盘多单扫上去好耍吗？
聚乙烯吧,45,12173,0,"news,fdcel,630513468",2017-04-19T09:32:05Z,http://iguba.eastmoney.com/9554044896549586,齐鲁化工城现货报盘震荡下滑，齐鲁高压装置未能开启，需求平淡，现货市场观望。期货弱势震荡，石化部分价格下跌，上海PE市场交投气氛清淡，商家跟跌出货，交投气氛清淡。石化中油价格下调，广州PE价格走低明显，下游询盘一般，成交观望为主。周二连塑震荡，成交量增加，持仓量增加。LLDPE中长期震荡偏弱走势，短期保持下跌走势，短期能否突破压力位则决定反弹的高度。支撑位8560，阻力位9040。建议逢高少量尝试多转空。,LLDPE中长期震荡偏弱走势，短期保持下跌走势
IF11吧,7,4209,0,"news,if11,630972908",2017-04-19T22:32:27Z,http://iguba.eastmoney.com/7893094879277444,发稿不给钱 网络公关界的垃圾 发稿不给钱的骗子大家注意了海信集团里面的海信冰箱,骗子：海信冰箱做完广告/新闻不给钱大家要小心了
胶合板吧,25,9697,4,"news,fdcebb,634130434",2017-04-26T14:33:50Z,http://iguba.eastmoney.com/7318093967479038,重大利好！---菜粕现货价 2580 元！期货 菜粕 1709合约 价 2500 以下坚决 开多单！,菜粕！央视天气重大利多！平空单！开多单！
IF07吧,20,10319,0,"news,if07,635637403",2017-04-30T22:35:10Z,http://iguba.eastmoney.com/7221094026618128,重大利好！---菜粕现货价 2580 元！期货 菜粕 1709合约 价 2500 以下坚决 开多单！,菜粕！央视天气重大利多！平空单！开多单！
晚籼稻吧,8,4531,0,"news,fczcelr,637037911",2017-05-04T15:54:06Z,http://iguba.eastmoney.com/1621134917980198,油价或持续回升,油价或持续回升
IF08吧,13,5615,0,"news,if08,663218993",2017-06-30T12:47:04Z,http://iguba.eastmoney.com/2526112650277642,袖珍最新次新股公司核心题材及概念和投资要点(掘未来大牛股)：,袖珍最新次新股公司核心题材及概念和投资要点(掘未来大牛股)
IF10吧,8,5146,2,"news,if10,683970865",2017-07-29T10:31:29Z,http://iguba.eastmoney.com/2486112593168488,袖珍次新股公司核心题材及概念和投资要点掘未来大黑马（精华版）,袖珍次新股核心题材概念和投资要点掘未来大黑马（精华版）
沪铝吧,399,6056,2,"news,fshfeal,690455867",2017-08-08T20:41:12Z,http://iguba.eastmoney.com/6034113380544288,拭目以待！,从内外盘看，一轮大行情已经开始了！
沪铅吧,159,4279,1,"news,fshfepb,693563536",2017-08-17T11:44:17Z,http://iguba.eastmoney.com/5033094348446086,内幕有大资金在操盘,内幕有大资金在操盘
IF02吧,3,2492,0,"news,if02,695621477",2017-08-24T14:05:44Z,http://iguba.eastmoney.com/4238055033834174,"刘风《刘峰》 男，主任医师，教授，血液科主任，硕士，研究生导师，现任北京西京。毕业于北京中药大学，1986年中西医结合血液病临床硕士研究生毕业，师从周霭祥教授。曾进修西医基础1年和骨髓移植。一直从事中西医结合血液病临床工作30余年。主编《中西医临床血液病学》、《中西医结合治疗白血病策略》，专著《白血病》，副主编和参编专业书籍10余部,发表学术论文80余篇,参加国家级、省部级和院级科研课题11项，主持“益髓青黄散治疗骨增生异常综合征的临床研究”、“再生障碍性贫血的中医辨证规范与疗效评价研究”等研究课题.获各级科研成果4项。",北京西苑刘风大夫治疗白血病专业
